Name,Rating,Number of Ratings,Price,Winery,Alcohol content,Bold,Tannin,Sweet,Acidic,Country_Region,Goat cheese,Blue cheese,"Rich fish (salmon, tuna etc)",Appetizers and snacks,Lean fish,Poultry,Sweet desserts,Veal,Aperitif,Beef,Spicy food,Cured Meat,Fruity desserts,Vegetarian,Lamb,Mushrooms,Pasta,Mild and soft cheese,Shellfish,"Game (deer, venison)",Mature and hard cheese,Pork
Shiraz 2019,3.8,37,22.9,Ben Haines,13.5,81.6,52.63,4.19,55.29,Victoria,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
Bobbie Burns Shiraz 2013,3.8,316,33.37,Campbells,14.5,81.93,40.7,18.98,41.04,Victoria,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
The Footbolt Shiraz 2019,3.8,474,17.99,d'Arenberg,14.5,84.15,50.04,17.74,45.29,South Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
Siblings Shiraz 2018,3.8,162,25.2,Leeuwin Estate,13.5,82.93,45.91,15.63,45.57,Western Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
Angela Shiraz 2018,3.9,90,25.5,Mitolo,14.5,84.88,48.36,23.71,45.04,South Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
Now by Paxton Shiraz 2021,3.8,26,19.99,Paxton,14.0,81.46,44.26,16.78,43.59,South Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
The Stump Jump White Blend 2019,3.9,100,11.99,d'Arenberg,11.5,44.259,46.29526972,9.05,53.555,South Australia,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
Pride of the Fleurieu Cabernet Sauvignon 2015,3.9,81,19.99,Dandelion Vineyards,14.0,68.15,52.87,8.0,53.22,South Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
Prelude Vineyards Chardonnay 2020,3.9,153,34.99,Leeuwin Estate,13.5,54.0391,46.29526972,9.05,53.555,Western Australia,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
Moppa Shiraz 2017,4.0,376,32.99,Kalleske,14.5,85.0,43.27,21.77,41.77,South Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
Bin 51 Riesling 2019,3.9,151,42.99,Penfolds,12.5,42.4737,46.29526972,9.05,53.555,South Australia,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
Cuvée Juveniles 2019,3.9,198,18.99,Torbreck,15.0,85.0,47.1,12.78,45.01,South Australia,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False
The Steading 2017,4.1,526,37.98,Torbreck,15.0,85.0,45.38,10.77,43.06,South Australia,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False
Shiraz 2018,3.8,203,18.99,Thomas Goss,14.5,85.0,49.22,20.21,44.79,South Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
Shays Flat Vineyard Shiraz 2014,3.8,225,22.48,Domaine Tournon,14.5,84.72,49.1,19.42,43.61,Victoria,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
Ladies Who Shoot Their Lunch Shiraz 2018,4.0,65,44.09,Fowles Wine,14.0,84.11,45.44,15.41,47.67,Victoria,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
The Scooter Merlot 2015,3.9,701,27.99,Mollydooker,15.0,68.86,19.81,10.28,10.47,South Australia,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False
Filius Cabernet Sauvignon 2018,3.9,554,20.89,Vasse Felix,14.5,65.23,55.48,3.89,54.53,Western Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
The Bolter Shiraz 2018,3.9,48,14.95,Mr. Riggs,14.5,85.0,44.65,17.81,42.15,South Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
Tolmer Cabernet Sauvignon 2019,3.8,253,29.28,Penley Estate,14.5,66.68,60.92,7.64,54.65,South Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
Director's Cut Shiraz 2012,4.1,1091,35.99,Heartland,14.8,85.0,45.85,21.67,42.02,South Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
Mother's Milk Shiraz 2020,3.9,154,16.14,First Drop,14.5,85.0,42.44,18.06,42.39,South Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
Max's Cabernet Sauvignon 2016,3.9,1111,19.99,Penfolds,14.5,68.33,55.45,7.89,53.45,South Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
The Boxer Shiraz 2018,4.1,3094,27.99,Mollydooker,16.0,85.0,47.06,22.26,42.96,South Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
Filius Chardonnay 2020,3.9,295,20.89,Vasse Felix,12.5,53.1818,46.29526972,9.05,53.555,Western Australia,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
Snake Charmer Shiraz 2016,3.9,173,33.99,Vinaceous,14.5,85.0,45.85,18.44,44.92,South Australia,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
Cliff Edge Shiraz 2015,3.9,174,32.0,Mount Langi Ghiran,14.0,82.99,44.17,19.26,44.85,Victoria,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
